MO,ADM,BFB,CPB,CHD,KO,CL,CAG,STZ,COST,COTY,CVS,DPS,EL,GIS,HRL,SJM,K,KMB,KHC,KR,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SYY,CLX,HSY,TSN,WMT,WBA,ABT,ABBV,AET,AGN,ABC,BAX,BDX,BMY,CERN,DHR,DVA,XRAY,EW,EVHC,ESRX,HCA,HSIC,IDXX,IQV,JNJ,LH,LLY,MDT,MRK,MTD,PDCO,PRGO,PFE,DGX,RMD,COO,ZBH,ZTS,T,CTL,VZ,LNT,AWK,ED,D,DTE,ES,NI,NRG,SCG,SO,WEC
57.042244,35.647274,1.9287488,53.750275,79.51671,41.673935,69.31515,39.043617,134.6622,141.56955,22.985584,87.54288,81.95241,76.522,54.680935,71.72523,115.516655,69.22868,120.090385,59.42155,37.53103,79.73993,83.65484,41.258175,125.95048,92.80526,84.46631,75.35079,38.826584,120.3878,83.50519,48.108635,65.447044,75.027374,39.478497,55.358963,100.04533,266.4454,88.06202,37.985455,133.82202,57.96162,60.232162,84.99349,68.17571,57.780495,74.20378,24.677689,74.06265,60.23838,140.8768,70.21318,62.718014,97.36175,105.4446,71.68514,70.57382,50.979073,291.7474,38.694782,142.39189,29.842627,63.732838,53.499184,128.16197,94.2454,45.431,32.371452,1.4084233,46.288406,59.687325,56.550896,64.20035,67.46122,77.86503,49.26138,21.351723,12.662216,58.02563,46.302025,51.494568
57.24082,35.405933,2.0894716,53.968407,80.53906,42.000557,69.32378,39.04103,136.34705,143.03235,22.921387,88.39947,83.32042,77.656906,55.522854,73.03005,117.10343,69.763695,121.02129,60.810352,38.11427,80.75505,85.07202,41.375683,127.99528,93.08169,85.285995,77.73477,39.415405,121.87347,84.32274,48.74177,64.645874,75.18525,39.64074,55.631428,101.36626,271.17343,88.77491,37.466496,135.73361,58.474895,61.181244,85.643456,67.989136,57.74951,73.08713,24.161453,75.13826,60.520817,142.89154,70.82592,63.162983,97.186035,106.872765,73.21092,71.19575,50.657818,296.7541,39.11641,144.07184,29.607864,64.013885,53.827503,128.01132,95.221344,45.28735,32.75372,1.3656539,46.128166,60.27804,56.969376,64.68672,68.22462,78.07968,49.360573,20.89835,12.312145,58.114674,46.315926,51.828785
58.393394,36.079494,1.9375722,54.022636,79.66751,42.326412,70.31307,39.175194,135.02495,142.59158,23.397152,89.5311,83.27528,76.881454,55.397694,72.20031,116.76626,70.0888,120.960205,59.247574,38.18421,79.85263,83.899284,41.862667,127.45852,93.46775,84.7823,77.71594,39.4957,121.36378,84.79928,48.27457,65.01735,75.44639,39.91444,55.679264,100.78631,269.00894,88.39551,38.53765,135.73631,58.79449,60.8873,86.22675,68.16581,58.127254,75.50367,25.092558,75.73446,60.673573,142.73752,72.43182,63.17559,96.91143,106.53322,72.22198,71.07983,50.889835,295.10455,39.229,144.01938,29.600067,64.272514,53.969498,129.19328,95.88415,45.595062,32.757816,1.4013656,46.617355,60.340977,57.0179,65.10677,68.05553,78.39754,49.07659,21.47569,13.73526,58.311825,46.019005,50.928608
57.732513,35.893066,1.8048694,53.558655,79.04257,41.46313,69.46587,38.91953,133.96472,141.55899,23.405418,88.45264,82.35761,75.35541,54.347576,71.15223,115.873344,69.2009,118.94709,59.490643,37.144592,79.31655,81.819824,41.4263,126.26008,92.51392,83.87605,76.13406,38.718727,119.43707,83.57216,47.84281,63.203175,74.74012,39.403397,54.856354,99.38488,264.2727,87.470955,37.71867,134.09158,57.94106,59.959465,84.89116,68.12512,57.834915,76.01268,24.697647,74.45153,59.783443,140.69122,69.89541,62.327408,95.52096,104.99793,71.711464,69.85752,50.255512,290.38882,38.34194,141.16252,29.147043,63.292526,53.755253,127.05777,94.78459,45.115086,32.57073,1.3363303,46.404446,59.36699,56.373684,64.142395,66.713135,77.149895,47.961395,20.901913,13.100811,57.645874,45.131382,50.201294
58.01772,34.601383,1.6141164,53.08921,81.00854,42.12625,69.64984,38.878063,135.72934,143.38974,22.791943,90.15675,82.98131,76.550224,53.73775,71.436005,118.46502,69.35725,119.790825,61.89619,38.091564,79.9525,84.10829,42.337173,128.44281,92.02344,86.07196,77.65718,39.07519,121.2132,84.87916,49.082314,61.909126,74.988144,38.353363,55.158127,100.873726,269.28754,88.36852,36.832386,135.65494,57.994217,60.172672,85.283516,67.95828,57.30172,78.15897,24.330187,75.35748,59.7329,143.07043,72.50015,62.982513,93.66899,106.08872,73.14286,69.87802,49.71009,294.8893,39.66583,142.8533,29.559343,64.39155,53.050694,126.412155,95.34176,44.86612,32.835472,0.9583944,46.940594,59.593807,56.228493,65.455696,69.1376,77.681786,47.919197,20.26581,12.26046,57.895702,45.230957,50.079506
58.439663,35.61988,1.5424297,53.54145,82.05405,43.08346,69.80438,39.268044,137.33363,145.62604,23.29029,91.55138,84.16713,77.524536,53.885036,72.27371,119.511986,70.21848,121.17376,62.540916,38.510174,80.39259,85.30715,43.310135,130.90948,93.772285,86.94022,77.77675,39.548676,122.79547,85.67949,49.683025,62.5214,76.21493,38.9821,55.65769,101.6076,273.46927,89.88028,37.415043,137.845,59.04899,60.08405,85.93713,67.78323,58.259205,80.1103,25.324345,76.08493,60.533176,144.85107,73.394905,64.04981,94.83268,107.946754,74.248405,70.694084,50.635532,299.00198,40.378273,144.01846,30.082582,64.96231,52.729755,127.56644,96.976845,45.31093,33.34149,1.0698394,47.33725,60.12929,56.851852,66.05574,69.591255,78.56722,48.47761,20.456652,12.433712,59.099583,45.826073,50.817123
58.54323,36.114494,1.6110418,54.2491,82.936554,43.74885,69.9537,39.5884,139.03485,147.63733,23.443707,92.39533,85.52091,78.69662,54.49493,73.59014,120.99613,70.5425,122.21933,63.67888,39.051273,81.31099,86.21776,43.58899,132.64275,95.13206,88.115326,78.72049,40.037766,123.9016,86.1782,50.201515,63.179913,76.99328,39.900547,56.06635,103.667305,276.608,91.1,37.732376,139.41786,60.0207,60.644215,87.15763,68.623375,59.15438,81.25341,25.455479,77.35305,61.378345,146.46616,73.366005,65.17146,95.850845,109.682495,75.74287,71.405815,51.068317,302.82272,41.148712,144.99689,30.572058,66.00243,52.948994,127.94706,98.66863,45.466984,33.81326,1.0207571,47.848793,60.64628,57.35531,66.52469,69.70417,78.93566,48.89599,20.264536,11.811192,59.59647,45.867725,50.893246
58.82476,36.281895,1.358566,54.424587,81.7428,43.85397,70.46226,39.403152,137.89595,146.85486,23.94551,92.154335,84.72365,77.70448,54.159508,72.842155,120.28741,70.24582,121.24585,62.82054,38.53763,80.44341,84.976135,43.787086,131.4721,95.173134,87.66597,77.63811,39.626396,122.648155,85.08001,49.35226,63.4466,76.801125,40.00936,55.83333,102.93614,271.46774,90.36271,37.406837,138.26216,59.817257,60.27813,87.27371,68.88078,59.445557,82.878334,24.9513,76.76394,60.41544,145.1954,72.48462,64.33261,95.96409,108.17083,74.42885,71.23655,50.62471,298.16608,40.686768,142.83904,30.420256,65.58521,52.792004,127.6587,97.906136,45.495476,33.714626,1.0130409,47.992184,60.21216,56.881798,66.39234,69.179054,78.92731,48.53919,20.5618,12.073059,59.61272,45.767517,50.770737
58.466835,35.873875,1.617933,54.524155,81.78764,43.29504,70.62079,39.37154,138.81293,147.71521,23.956451,91.84468,85.90933,78.25731,54.998615,73.08351,120.53952,70.39469,121.47763,63.600815,38.276146,81.17462,85.79782,43.09455,132.03964,95.26612,87.70471,77.94206,39.769653,123.247826,85.37414,49.639355,63.253853,77.065544,40.29819,56.1868,103.56227,273.6378,90.56988,37.247066,138.97003,60.163544,60.01994,87.60489,69.294044,59.473736,83.508736,24.516365,77.46952,60.633568,146.00278,72.24928,64.440384,96.2744,109.169975,75.00084,71.40486,50.672245,301.24396,40.212654,142.79683,30.399126,66.23145,53.720253,127.64527,98.51149,45.866455,33.638866,1.3212818,47.7223,60.54265,57.334003,66.0109,68.69972,78.76144,48.624973,20.018139,11.305035,59.553867,45.55277,50.560345
58.584473,36.407913,1.6691196,54.677067,82.37157,43.77946,70.94158,39.57877,139.52597,149.35547,24.088142,92.75566,86.57197,78.95905,55.490593,73.53862,121.250206,70.94943,122.39081,63.900692,38.743057,81.60144,86.85273,43.424294,133.50133,96.16033,88.262955,78.075966,39.92279,124.05272,86.05186,50.0728,63.751392,77.98406,40.640877,56.600834,104.08575,276.94565,91.64665,37.93753,140.22372,60.906353,60.202538,88.37045,69.335464,59.67577,85.43325,24.991667,78.6061,61.233295,147.391,73.69875,64.878494,96.96749,110.5451,75.701515,71.90502,51.17059,304.7997,40.49859,144.09169,30.746778,67.228584,53.58746,128.79413,99.54278,46.202576,33.794758,1.3628114,47.845184,61.07652,57.942337,66.16652,68.986694,79.519516,49.13468,20.086742,11.19389,60.078846,45.811962,50.796658
