consumer_discretionary_avg,consumer_staples_avg,energy_avg,financials_avg,health_care_avg,industrials_avg,information_technology_avg,materials_avg,real_estate_avg,telecommunication_services_avg,utilities_avg
110.90077,84.8366,55.687233,70.23932,118.54178,88.11417,92.28032,90.85352,96.31355,50.516373,60.290977
110.829094,84.09049,56.17468,69.87091,118.58228,87.95628,92.16769,90.71597,96.712006,50.462208,60.456074
110.37449,84.1676,55.53096,69.73594,118.04902,87.75128,92.043144,90.186035,96.45605,50.021675,60.182907
110.46076,83.683754,56.009583,69.528465,117.913704,87.77069,91.731865,90.06015,96.52499,49.60221,60.07914
110.65691,83.72942,56.433636,70.66163,118.376495,87.966644,91.50207,89.246284,96.27813,48.274315,59.686184
110.82433,83.37473,57.13614,70.617294,118.80578,88.45588,91.3103,90.33382,97.37047,48.23866,59.98321
111.127235,83.46654,57.247505,70.79918,119.63905,88.597565,91.35652,90.80148,97.731316,48.734028,60.446537
111.69107,84.072945,57.21052,70.791504,119.844406,88.80878,91.71067,91.07003,97.61962,48.917816,60.284607
112.27619,84.58146,58.093117,71.07786,120.2954,89.23854,92.049065,91.45806,97.4953,49.11705,60.261124
112.767845,84.70759,58.76937,72.00824,121.26268,89.54373,92.385315,91.15984,97.528175,48.73539,60.36017
112.81481,84.283356,58.97493,72.14878,121.828316,89.63022,92.21639,91.23824,97.80023,48.74569,60.779903
112.92675,83.93154,59.000786,71.319374,121.3133,89.495346,92.05636,91.56697,97.81963,48.933857,60.505127
112.62997,84.176,59.0804,71.208534,120.8568,89.19339,92.0389,91.443886,97.193184,48.801514,59.891468
112.85556,84.14872,59.688007,71.413185,121.121056,89.29645,91.97463,91.67356,97.08622,48.722878,59.827755
112.84582,84.19975,60.214706,72.69192,121.693146,89.52446,91.715775,90.5921,96.61456,47.47664,59.42724
113.49444,84.32641,60.5002,73.310974,122.20077,89.86423,91.53713,90.36691,96.67182,46.65236,59.55757
113.107185,84.18276,60.122826,73.38088,122.15726,89.648056,91.54108,90.166565,96.463425,47.091522,59.889717
112.97343,84.48344,59.30597,72.513695,120.8862,89.396484,91.82692,89.93289,95.95814,47.842552,59.923298
113.21227,84.870804,59.88683,72.68091,120.88901,89.53638,91.54275,90.03601,95.23058,47.270985,59.16858
112.5787,84.4012,59.734543,72.822975,121.40502,89.18211,91.19185,89.97713,95.22955,47.68758,59.73545
111.793526,84.09988,58.517937,72.17641,120.61991,88.81762,91.19029,89.626396,95.400154,47.975094,59.794197
111.22859,83.929726,58.438335,71.437805,119.805,88.7157,91.215775,89.818886,95.42787,48.45057,59.987667
110.78008,83.68695,58.287964,71.65165,120.08629,88.47266,91.1208,89.78821,95.78885,48.423344,60.223263
110.60796,83.70542,57.6864,71.62863,119.95047,88.5475,91.1701,90.09914,96.39017,48.43902,60.39524
110.44215,84.40354,57.528988,71.37308,119.22959,89.017296,91.95335,91.026726,97.43604,49.44226,60.700806
110.835884,83.91531,57.84502,71.60351,120.13753,89.13603,91.861916,91.109566,97.64217,49.516907,61.30296
110.85929,84.35409,57.40646,71.52308,120.03749,88.94473,92.05561,90.70908,97.23068,49.590168,61.311127
111.132805,84.19402,57.410294,70.946144,119.20171,88.95482,92.35543,90.77098,97.245804,49.663162,60.987514
110.98708,84.42686,57.72736,71.690315,119.29225,88.85816,92.07286,90.30592,96.65178,48.897392,60.413162
110.69741,83.55198,58.250748,71.3531,119.778015,88.70653,91.65141,90.73708,97.04585,49.19929,60.970303
110.190994,83.22384,57.792965,70.914764,119.299675,88.2594,91.31684,90.675705,96.82707,49.329308,60.59866
110.3554,83.22375,57.758987,70.29548,118.62819,88.183624,91.14184,90.48715,96.24285,49.248756,60.274944
110.34247,83.08123,58.256493,70.54518,118.77508,88.22166,90.77219,90.25084,95.81626,48.452263,59.489803
110.37534,82.709724,58.540016,70.715576,119.14381,88.13537,90.52463,90.09729,95.875786,47.954296,59.154034
110.748695,83.06504,58.847084,72.063965,120.08524,88.30692,90.59386,89.7151,95.96859,46.907536,58.954704
111.20225,83.17249,59.373714,72.0214,120.49749,88.97435,90.989746,90.59525,97.08243,47.256943,59.343052
111.909096,83.55761,59.378937,73.19275,121.62198,89.12787,91.36478,90.27901,97.25935,46.95233,59.53016
112.62977,84.07773,59.63639,73.34593,121.89302,89.642006,91.80408,90.53755,97.46982,46.89424,59.457832
113.21096,84.44772,60.014275,73.73845,122.34015,89.82092,92.34137,90.86174,97.65523,47.18994,59.48575
113.56567,84.6852,60.19223,74.202126,122.85217,90.00603,92.406456,90.68139,97.45125,47.015617,59.50838
113.78956,84.891594,60.35167,73.891235,122.85565,90.250015,92.5166,91.376495,97.844666,47.5297,59.769455
114.09707,85.27496,60.377327,73.89656,123.12208,90.27931,92.818,91.58681,97.84777,47.978333,60.092327
114.06718,85.41462,60.534225,73.81203,123.129234,90.46783,92.95708,91.7588,97.92169,48.362095,60.51156
