MO,ADM,BFB,CPB,CHD,KO,CL,CAG,STZ,COST,COTY,CVS,DPS,EL,GIS,HRL,SJM,K,KMB,KHC,KR,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SYY,CLX,HSY,TSN,WMT,WBA,ALGN,DVA,EW,EVHC,HUM,IDXX,ILMN,ISRG,LH,MTD,REGN,COO,ZTS,AMT,CCI,DLR,EQIX,EXR,GGP,SBAC,VTR,AWK,DUK,NEE,SRE
60.66257,35.885136,-1.8614095,53.298874,77.64013,34.46713,60.315006,38.224125,140.34398,142.96767,22.518665,90.62775,83.42928,81.58083,54.40179,72.503784,118.84638,69.17838,117.37586,62.510292,35.981667,82.19497,80.75507,39.546608,118.629745,98.47658,87.532364,77.40498,39.81147,121.24043,89.27435,48.75356,62.677887,77.44861,55.37187,63.759296,73.25194,29.66485,152.84682,69.76346,145.41946,505.94324,107.82784,281.24026,404.069,124.336395,45.287594,86.060875,80.79286,69.95279,277.70718,80.873184,26.385216,92.17647,56.04954,58.169956,75.12773,102.43988,91.58097
59.53191,35.987785,-2.1602871,53.581123,77.8242,34.71878,60.094765,38.26787,140.52336,143.79607,22.750353,90.32658,84.31537,81.05915,54.022785,73.55624,119.70733,69.316475,117.75763,61.84616,37.064117,83.20106,81.21608,38.407516,117.9386,98.94276,88.56786,78.03108,40.500763,121.4565,91.43461,49.328365,63.26489,77.688,55.318295,63.922543,72.607925,30.64349,152.77245,70.78141,146.91034,509.2778,110.7214,281.40262,399.08997,124.23413,45.909016,84.77514,80.09689,68.75915,276.6113,79.788155,26.652073,92.360725,55.573853,59.2366,74.70004,101.875694,93.37405
58.67067,35.288445,-1.9534096,53.78705,77.78798,34.97476,59.607788,38.22777,139.7834,144.77115,23.07109,90.281906,84.90829,81.507805,53.558094,72.24206,119.99082,70.390945,118.22971,61.19348,37.526627,82.92533,81.73794,38.347046,117.62025,99.57157,89.54379,78.40349,41.463688,121.087524,90.70782,48.171535,64.102646,76.971466,56.13339,65.121895,73.91589,30.920742,152.8852,72.8886,147.65771,519.4031,111.01028,283.15112,400.1595,126.26991,45.82358,85.831856,81.90214,69.06717,279.77884,79.88785,28.351364,93.85961,56.220127,60.32034,76.37164,100.833755,93.87211
58.71466,34.243237,-2.4004977,53.14853,76.43788,35.182095,58.83,37.399776,137.12187,142.94478,23.14465,89.52397,83.126465,81.469536,51.606907,70.58598,117.6985,69.24661,116.26361,57.812126,38.0313,81.95376,79.81284,39.21345,115.401024,98.25306,87.5738,78.42703,40.5539,119.78006,89.04972,46.86495,63.64761,75.504395,55.891243,64.74246,72.07841,30.241375,149.4117,74.30644,146.10555,514.9376,109.27372,282.6983,395.4677,127.024796,46.2631,86.143,82.080154,69.15353,277.8195,78.98901,27.626244,93.45663,56.550972,58.50603,76.548645,99.516045,92.36399
58.705055,34.906216,-2.655885,53.160694,77.623634,35.46849,59.31578,37.9213,139.81766,145.20567,23.101732,90.61968,84.3795,81.200966,53.099545,72.07066,119.11931,70.146034,118.78356,57.920956,40.089073,82.83057,81.30201,38.66668,118.73935,100.34676,89.5519,79.758705,41.10335,121.568375,89.79662,47.05291,64.65089,76.54817,56.37078,66.80753,73.55046,32.07667,154.00838,75.72669,150.70935,528.32935,111.55511,288.0663,404.08243,128.90155,47.594067,87.09711,83.38458,68.84932,284.77933,80.33354,28.182816,96.124886,57.027122,60.13729,79.02893,100.678986,94.771736
59.11988,36.085518,-3.0797713,53.89384,77.747055,36.259285,60.248913,38.138447,138.9047,146.33539,24.224945,91.95578,83.881584,82.8803,53.06221,71.829056,120.272835,70.64929,120.747574,53.77657,42.381973,83.90423,81.19711,40.518383,119.4012,101.32153,90.26638,81.84064,40.950924,121.40039,90.713715,47.36871,66.06028,77.03938,58.422153,67.99329,73.915955,32.822647,156.32097,79.80075,154.93721,532.4195,112.46831,294.08972,409.6745,132.99966,48.237885,89.26905,85.57496,69.843956,287.85287,80.62732,28.134907,97.92316,58.77155,59.435963,80.58453,102.19111,95.71038
56.299725,37.559963,-3.242781,53.58473,78.266914,38.723434,64.25313,37.229076,131.35645,145.7285,25.317976,90.64186,82.61682,83.96766,51.675587,68.388695,121.07961,70.01008,121.879555,39.958687,50.27128,82.83108,81.54548,41.082733,117.79649,101.67076,92.61241,85.43314,40.00176,117.07405,93.20824,46.2574,70.22712,76.92981,59.84059,71.50643,72.62191,34.11609,158.21419,90.01749,162.1565,540.6488,113.237816,298.65073,406.3667,137.05707,48.669758,88.98227,87.703064,71.61589,282.19977,77.09196,28.687927,98.52762,63.369972,58.29008,83.265945,104.78235,97.47996
57.964012,36.796535,-2.90389,54.00188,78.15615,38.331116,64.58678,37.38705,133.09453,146.13487,24.674109,90.6525,83.28721,83.637596,51.276237,68.73727,120.65277,70.17273,120.90318,45.150826,47.222107,83.37525,81.633644,41.049835,118.62422,101.39771,91.421295,83.84552,40.548607,118.87375,92.61251,46.685085,69.0178,76.6622,59.15159,70.768974,74.26678,33.104343,156.66393,86.24377,158.11974,538.7647,112.527824,295.97598,403.81378,135.59659,47.832085,89.60166,86.90274,71.95382,282.50494,77.97212,28.976295,97.3196,62.803333,58.626175,81.84238,104.18597,96.81108
58.65528,37.22245,-2.861478,53.97357,78.954384,38.21594,63.918297,37.739067,136.78056,147.86533,24.433477,91.74626,84.78336,83.72418,52.382664,70.387146,121.59603,70.937035,121.60531,48.78076,46.47153,83.660965,83.161194,40.444084,121.20778,102.46292,92.28841,83.617165,41.006874,120.10079,92.0348,47.641407,68.97259,77.57792,59.245644,70.453125,75.355125,33.619225,159.24884,84.15163,160.71423,544.8611,113.68978,297.9794,410.9251,135.18971,47.81097,89.59248,86.88034,71.87499,287.13712,79.67294,29.281212,98.37294,61.575672,59.75889,81.98858,104.81144,97.40397
60.26374,37.573536,-2.6354668,54.51101,79.82266,37.973324,64.09767,38.17214,139.83441,149.15941,24.651905,93.12964,86.04439,83.86942,53.005474,71.499115,122.09115,71.31047,122.41885,53.106457,45.125984,84.59139,84.140465,40.66073,123.65645,103.461815,92.55878,83.03902,41.5097,121.911865,91.95805,48.412228,68.78651,78.588905,59.568222,70.33588,77.07756,33.431953,161.3942,81.48608,162.50952,548.5554,114.05508,299.8858,415.49655,136.19092,47.68735,90.87266,86.81892,72.69276,291.254,81.296906,29.98642,99.255196,61.517284,60.597176,81.79523,106.16556,97.76078
