Stocks,Weights
MO,0.0095838215
ADM,0.005989195
BFB,0.00032405436
CPB,0.009030728
CHD,0.013359813
KO,0.0070017474
CL,0.0116458265
CAG,0.0065598236
STZ,0.02262496
COST,0.023785481
COTY,0.0038618695
CVS,0.014708316
DPS,0.013769046
EL,0.012856667
GIS,0.009187088
HRL,0.012050746
SJM,0.019408267
K,0.011631297
KMB,0.020176709
KHC,0.009983576
KR,0.0063056876
MKC,0.013397318
TAP,0.014055072
MDLZ,0.0069318986
MNST,0.021161279
PEP,0.01559246
PM,0.0141914105
PG,0.01265989
SYY,0.0065233596
CLX,0.020226674
HSY,0.0140299285
TSN,0.008082861
WMT,0.010995936
WBA,0.01260555
ABT,0.00663289
ABBV,0.00930101
AET,0.016808882
AGN,0.044766206
ABC,0.014795533
BAX,0.0063820374
BDX,0.022483794
BMY,0.009738287
CERN,0.010119768
DHR,0.014279982
DVA,0.011454384
XRAY,0.009707854
EW,0.012467177
EVHC,0.0041461634
ESRX,0.012443468
HCA,0.01012081
HSIC,0.023669094
IDXX,0.011796703
IQV,0.0105374195
JNJ,0.01635801
LH,0.017716035
LLY,0.0120440135
MDT,0.0118573
MRK,0.008565133
MTD,0.049017273
PDCO,0.0065012123
PRGO,0.02392364
PFE,0.0050139404
DGX,0.010707923
RMD,0.008988544
COO,0.021532835
ZBH,0.015834419
ZTS,0.007632983
T,0.005438814
CTL,0.00023663304
VZ,0.0077770376
LNT,0.01002823
AWK,0.009501267
ED,0.010786474
D,0.011334343
DTE,0.013082315
ES,0.008276537
NI,0.0035873603
NRG,0.0021274127
SCG,0.009749043
SO,0.0077793295
WEC,0.008651741
