Stocks,Weights
MO,0.010769899
ADM,0.00637097
BFB,0.0
CPB,0.009462564
CHD,0.013784064
KO,0.00611922
CL,0.010708194
CAG,0.006786229
STZ,0.024916371
COST,0.025382167
COTY,0.0039979154
CVS,0.016089857
DPS,0.014811854
EL,0.014483682
GIS,0.009658376
HRL,0.012872168
SJM,0.021099726
K,0.012281783
KMB,0.020838657
KHC,0.011097942
KR,0.0063881082
MKC,0.014592721
TAP,0.014337082
MDLZ,0.0070210183
MNST,0.021061268
PEP,0.017483322
PM,0.015540308
PG,0.013742311
SYY,0.0070680417
CLX,0.021524766
HSY,0.01584958
TSN,0.008655598
WMT,0.011127695
WBA,0.013750059
ALGN,0.0098306
DVA,0.011319689
EW,0.013004992
EVHC,0.005266635
HUM,0.027136091
IDXX,0.012385655
ILMN,0.025817456
ISRG,0.08982409
LH,0.01914352
MTD,0.049930785
REGN,0.07173753
COO,0.022074418
ZTS,0.008040261
AMT,0.01527906
CCI,0.01434379
DLR,0.012419265
EQIX,0.04930354
EXR,0.014358051
GGP,0.0046843737
SBAC,0.016364813
VTR,0.009950915
AWK,0.010327366
DUK,0.013338013
NEE,0.018186959
SRE,0.016259085
