Stocks,Sharpe Ratio,Minimum Risk
AAP,8.018074723403354e-15,8.442148084598898e-17
AMZN,0.15216532372109945,0.0
APTV,0.0,0.00017869128586032987
AZO,0.05444151819332482,0.09010592358424255
BBY,4.725286528057324e-14,3.9629442379713125e-17
BWA,6.252604074278993e-14,0.0
KMX,2.87787013244688e-14,0.0
CCL,8.302082350542984e-14,0.0
CBS,4.072981563593275e-14,0.0
CHTR,0.35109748629202625,0.1231957861972872
CMG,0.08600663311068653,3.361247810642011e-17
CMCSA,5.040968576148655e-14,0.0
DHI,4.295005164171984e-14,0.0
DRI,3.548162629057841e-14,6.757107716833532e-17
DISCA,3.5340613792339537e-14,0.0
DISCK,3.468023247556924e-14,2.490525916890489e-17
DISH,6.711920830387055e-14,2.0489997068805623e-17
DG,0.261822024342242,0.20297674383163036
DLTR,9.491635806536503e-15,0.0
EXPE,2.691123801183836e-14,0.0
FL,3.8059332937334844e-14,4.3702411448137605e-17
F,8.506977404688064e-14,0.0
GPS,5.94622919556927e-14,2.068759910054207e-17
GRMN,0.0,0.012769180152996492
GM,6.663165069527263e-14,0.0032038079984130136
GPC,3.177257286792997e-14,0.016070749746561523
GT,9.005273140388338e-14,0.0
HBI,5.5872197953241824e-14,3.5946202681265097e-17
HOG,9.313903168329291e-14,3.9059739102319626e-18
HAS,9.570155571265351e-15,0.01997903553491045
HLT,0.054983312687906724,0.011436718354069404
HD,2.291212910875804e-14,4.386313899135429e-17
IPG,7.441775816131808e-14,6.829305487431548e-17
KSS,8.500329813665147e-14,0.0
LB,6.481902850508787e-14,0.0
LEG,5.460075625586592e-14,1.8790618626955003e-17
LEN,5.181534341522169e-14,0.0
LKQ,1.800947027117717e-14,0.0
LOW,4.113706987929332e-14,0.0
M,1.0542992549541388e-13,1.7871486763437884e-18
MAR,4.184909843245433e-14,0.0
MAT,5.491678315337289e-14,0.002148574949034931
MCD,0.0,0.23038676608552638
MGM,7.464727530586599e-14,0.0
KORS,6.287400733043395e-14,0.0
MHK,5.323104385915738e-14,0.0
NWL,6.874247225882597e-14,0.0
NWSA,8.170082556211764e-14,0.0
NWS,8.048432248081258e-14,0.09206214337664027
NKE,2.2966477724095216e-14,0.0
JWN,6.120196061331606e-14,4.712548996177902e-17
NCLH,9.036370344684921e-14,0.0
ORLY,0.0,2.423871863993893e-17
OMC,5.831344948152873e-14,0.002215056796961697
RL,3.129594014276393e-14,2.4189538748772984e-17
PCLN,0.03756232632981997,0.00024919323554910007
PHM,6.52369874350318e-14,0.0
PVH,3.034792926905491e-14,1.771541519529978e-17
ROST,8.280132705318275e-15,0.0
RCL,5.1646880842656006e-14,1.2074253485728718e-16
SNI,0.0,0.12857509673689774
SIG,6.015349545351324e-14,1.7487762749403513e-18
SNA,2.350149934655698e-14,1.2034474353620807e-17
SWK,4.291431007908663e-14,2.7590810977930284e-17
SBUX,1.5984622498875358e-14,0.0
TPR,7.046649005825811e-14,0.0
TGT,2.2348873074801497e-14,1.2820053958730975e-17
DIS,1.6174421897831994e-14,0.0
TIF,1.6213050756015086e-14,7.818783244421476e-18
TWX,0.0,0.04073093509340814
TJX,2.5585470771214474e-14,0.002961511655315241
TSCO,1.781244097181545e-15,1.7438428048603967e-18
TRIP,4.5299029913801684e-14,0.02075408538469509
FOXA,3.326156939965489e-13,1.0090881544776909e-16
FOX,3.58374750688827e-13,0.0
ULTA,0.0019213753189085798,0.0
UAA,7.102927966554429e-14,5.585265857076927e-17
UA,2.280040075357506e-13,1.3683306281119845e-17
VFC,2.279149347483231e-14,2.6011436241213966e-18
VIAB,4.86866850613176e-14,3.7848132260086985e-17
WHR,5.6021960588170795e-14,0.0
WYN,0.0,0.0
WYNN,1.4146893079013948e-14,5.7374999164107e-17
YUM,2.2460412971641752e-14,5.161177004575165e-17
