Stocks,Sharpe Ratio,Minimum Risk
AMG,9.186069703479268e-16,3.0609619530301974e-17
AFL,1.7988269908371386e-16,2.0795501785415241e-16
ALL,0.0,1.0884224728866771e-16
AXP,2.1809241899831614e-15,3.158061400082874e-17
AIG,0.012643518640188279,0.0
AMP,0.0,1.236473260779568e-16
AON,0.10997633204706661,0.05751903143434354
AJG,0.0,0.03795939333564766
AIZ,1.153677650308517e-15,0.0
BAC,9.00005574278536e-16,5.4380098220399873e-17
BBT,3.786446883865719e-16,0.0
BRKB,0.0,0.34397031700208497
BLK,0.20655031319877035,0.0
HRB,1.1206910100606797e-15,0.014075481209985571
BHF,6.0434337334522255e-15,1.1586405481091895e-16
COF,4.0562941543708737e-16,6.1824763167269e-17
CBOE,0.3310800333532854,0.24842260742757866
SCHW,1.1424320735779093e-15,1.3100046999088165e-16
CB,0.0,0.0
CINF,6.970131098944637e-16,0.0
C,0.026023093410943825,0.0
CFG,5.606611938615544e-16,5.530498159121345e-17
CME,0.04641325692594807,0.0
CMA,1.7059632928832553e-15,5.83661557603796e-17
DFS,1.2074175956832143e-15,5.349586350123508e-17
ETFC,0.016819340581177157,0.0
RE,0.14095697326878334,0.07042698006122754
FITB,1.250328988863132e-15,0.0
BEN,1.5712593180358463e-15,6.336665752918118e-17
GS,7.19021723281168e-16,0.0
HIG,0.0,6.607394218020699e-17
HBAN,1.3321338707022384e-15,1.2944965846103865e-17
ICE,0.004071036870658587,6.3922148537497e-17
IVZ,2.942044353805839e-15,8.230882246307533e-17
JPM,5.495436611008717e-16,7.57777284816249e-17
KEY,1.162564860622234e-15,1.305195631589587e-16
LUK,6.797015625552385e-16,0.04224660198482247
LNC,1.1735584801557627e-15,9.03415015291935e-17
L,9.146394815144265e-16,1.271215998748121e-16
MTB,1.5218652747338877e-15,0.0
MMC,6.728488385712171e-16,0.0
MET,1.2621529030981864e-15,8.054713644490095e-17
MCO,0.07803570750113616,0.0
MS,1.953613844098339e-15,0.0
NDAQ,0.027430394201990345,0.0
NAVI,1.6188881261816015e-15,1.2075822896853615e-17
NTRS,9.247769802829062e-16,3.449348325350682e-17
PBCT,4.638371682789753e-16,0.0230357698388985
PNC,4.4375121112041347e-16,1.5593379951355656e-17
PFG,9.530604698251638e-16,7.737612220340062e-17
PGR,0.0,0.014744016872450916
PRU,1.114313470850588e-15,9.536375107359783e-17
RJF,7.134972508426654e-16,4.333573137395347e-17
RF,1.7032889840669695e-15,8.813737355053376e-17
SPGI,5.383836855949461e-16,0.0
STT,1.3526844453716459e-15,4.2834242934900014e-17
STI,9.871165638575606e-16,0.0
SYF,5.787692271493659e-16,0.0
TROW,5.6049571892097635e-16,9.77824613148039e-18
BK,1.186436116785116e-15,1.0891610390176024e-17
TRV,1.6023669495573563e-16,0.0
TMK,5.652088153203118e-17,0.0
USB,8.789073804101669e-16,0.0
UNM,7.683830073539206e-16,0.0
WFC,4.929497956235234e-16,1.0505102399778862e-17
WLTW,0.0,0.1330963312781155
XL,6.384618544451794e-16,0.01450346955484429
ZION,1.4412075939798345e-15,6.120680544217301e-17
