Stocks,Sharpe Ratio,Minimum Risk
ABT,2.0867669449476353e-16,0.02736016389268576
ABBV,1.2296787148540645e-17,0.011104281268945762
AET,1.1970829561062963e-17,0.006068992281973381
A,1.720892258803199e-16,0.0
ALXN,2.339892965076895e-16,0.0
ALGN,0.04550473378366851,7.6029677345546e-18
AGN,1.731474772765893e-17,0.0389621681712736
ABC,1.1991808047986961e-17,0.014287107676897818
AMGN,1.0434109738782262e-16,0.0
ANTM,2.1505768981861934e-16,0.0
BAX,1.220981202047372e-16,0.037935831423423015
BDX,1.751796060948877e-17,0.10554235593097941
BIIB,5.228686788135171e-18,1.6554411921138046e-17
BSX,7.101522666569387e-17,5.473188091978387e-17
BMY,1.039726947623599e-16,0.048027318990398506
CAH,1.4556875679760438e-16,3.7269449679189215e-19
CELG,2.7120144300716712e-17,8.565197162635485e-18
CNC,2.442504110475934e-17,0.0
CERN,5.024205119371195e-18,0.015970677080293733
CI,3.699147858191177e-16,0.0
DHR,5.254366821452342e-17,0.038173353153007544
DVA,0.1500195052339001,0.034831996739472605
XRAY,2.4473604061832834e-16,0.026420395984580073
EW,0.055959276069970455,0.01943116152821596
EVHC,0.05157873979195486,0.01739535200445836
ESRX,1.2183342272814863e-18,0.025789589924973114
GILD,6.508861799436774e-17,4.194507154803295e-18
HCA,3.5697224205895746e-17,0.014117952593073572
HSIC,2.7987692055977716e-17,0.018966444129413885
HOLX,6.260183217261188e-17,0.0
HUM,0.11975575455112823,2.240910365255977e-17
IDXX,0.0032775314525636673,0.01079858024212383
ILMN,0.030320927452890965,3.633432530542047e-17
INCY,2.445721921915349e-16,0.0
ISRG,0.09640302942264825,0.0
IQV,5.826661182547662e-19,0.010588066508751534
JNJ,1.1818087250450192e-17,0.2142298258877627
LH,0.017954191479174115,8.532989671723417e-05
LLY,4.545480417151595e-17,0.005128148613042934
MCK,1.851362814989174e-17,3.550762114890027e-18
MDT,1.540607013645533e-16,0.03739756613116176
MRK,3.679778775827734e-16,0.021916968729236184
MTD,0.050780635883663786,0.025054254844464472
MYL,6.864684683137108e-16,7.115076756936123e-19
PDCO,6.680308027724464e-17,0.007078985377912397
PKI,1.726028946483639e-16,0.0
PRGO,6.463705459314496e-18,0.02094501231428376
PFE,9.489596686739633e-17,0.016340579042895962
DGX,9.29245577395428e-17,0.02506570617651006
REGN,0.041456194282938875,0.0
RMD,5.218517278446909e-18,0.00668259262435857
SYK,5.354008335688823e-17,0.0
COO,0.025706712158443817,0.008105508798535003
TMO,1.1289315729918981e-18,0.0
UNH,1.0550494693322986e-16,0.0
UHS,1.430590717744095e-16,0.0
VAR,1.2637796474383671e-16,0.0
VRTX,7.021204558175903e-18,0.0
WAT,1.538554391570244e-16,2.722702705654223e-17
ZBH,2.5747793392015583e-17,0.02182629728515996
ZTS,0.3112827684370542,0.06837143475301778
