Stocks,Sharpe Ratio,Minimum Risk
ACN,0.0,0.0
ATVI,0.0,0.0
ADBE,0.0,0.0
AMD,0.0,0.0
AKAM,0.01518436187280504,0.0
ADS,0.0,5.796778819211276e-18
GOOGL,0.033963815957211436,1.6819624990813328e-17
GOOG,0.0,0.12645746702858315
APH,9.776714642198766e-16,4.823346452862281e-17
ADI,5.39381462281486e-16,0.0
ANSS,0.011781432535366924,0.0
AAPL,0.06515876723534827,2.33520864124354e-18
AMAT,1.296322633291504e-15,3.2864032296007005e-17
ADSK,1.5207120031988456e-16,1.7015442422467476e-17
ADP,0.0,0.10147432728611529
AVGO,0.2450542901738675,0.0003035825972410969
CA,0.0,0.054840326366896223
CDNS,1.8057264715541378e-16,0.0
CSCO,0.0,0.0
CTXS,0.0,0.0
CTSH,0.0,0.0
GLW,4.211189141809216e-16,0.0
CSRA,0.15662950545338547,0.3424837275400252
DXC,4.67300472318671e-15,2.111499499550184e-17
EBAY,2.827884958754489e-16,1.3678597526164416e-17
EA,7.616538509612288e-17,6.811890639527051e-05
FFIV,0.0,3.183035276591283e-17
FB,0.12716284564095098,0.04202739869561604
FIS,0.0,0.024918399808186373
FISV,0.0,0.0
FLIR,0.0,0.003636392344943772
IT,0.0,0.0
GPN,0.0,1.2356197741977936e-17
HRS,0.0,0.04697803014189225
HPE,1.4734994692698511e-15,0.0
HPQ,1.2940055710517205e-16,8.925652219434295e-18
INTC,6.651949127788735e-16,5.356248988440139e-18
IBM,5.052280730774801e-16,0.14449358113794408
INTU,0.0,0.0
JNPR,7.379126541887892e-16,0.0
KLAC,0.0,0.0
LRCX,7.095802123425336e-17,1.0186363250131052e-17
MA,0.09306028525559168,0.0
MCHP,3.540490125652637e-16,1.9739176293023847e-17
MU,1.3006615294274387e-15,7.344689869146225e-17
MSFT,0.0,5.742466081038596e-18
MSI,0.01910159084036198,0.0
NTAP,0.0,0.0
NFLX,0.09441822006859651,4.791260331328675e-18
NVDA,7.142171538752557e-18,6.385591118818899e-17
ORCL,0.0,2.257973621312267e-18
PAYX,0.0,0.002010357024578242
PYPL,0.0,0.0
QRVO,1.1329403763797313e-15,0.0
QCOM,8.057877111628566e-16,1.1338429946178192e-18
RHT,0.13848488496651393,0.006575727336223156
CRM,0.0,0.0
STX,0.0,4.4823751875082944e-18
SWKS,7.827080136296869e-16,0.0
SYMC,6.938779430035127e-16,0.007985831897392187
SNPS,0.0,0.017301748998400354
TEL,4.401751617463895e-16,0.0
TXN,3.119222556540216e-16,8.55781768394663e-18
TSS,0.0,0.07844498288956764
VRSN,0.0,4.442952222225978e-17
V,0.0,0.0
WDC,0.0,0.0
WU,0.0,4.565141697367548e-18
XRX,0.0,0.0
XLNX,2.0059513158980244e-16,9.61146560147807e-18
